고유 번호,자격구분명,계열명,종목명,상세분야,언어,급수
2949,일학습병행자격,L3,스포츠관광플래닝,,,L3
2950,일학습병행자격,L3,스포츠선수관리,,,L3
2951,일학습병행자격,L3,승강기설치,,,L3
2952,일학습병행자격,L3,승강기유지관리,,,L3
2953,일학습병행자격,L5,시각디자인,,,L5
2954,일학습병행자격,L3,식물육종,,,L3
2955,일학습병행자격,L5,식품가공연구개발,,,L5
2956,일학습병행자격,L4,식품품질관리,,,L4
2957,일학습병행자격,L3,신변보호,,,L3
2958,일학습병행자격,L3,건강운동관리,유소년,,L3
2959,일학습병행자격,L4,단조압출인발,단조,,L4
2960,일학습병행자격,L2,비철금속제련,습식,,L2
2961,일학습병행자격,L6,임베디드SW개발,,,L6
2962,일학습병행자격,L4,취업알선,,,L4
2963,일학습병행자격,L5,플라스틱제품제조,압출,,L5
2964,일학습병행자격,L3,호텔객실,,,L3
2965,일학습병행자격,L3,호텔식음료,,,L3
2966,국가전문자격,고용노동부 보건직7급 필기시험,고용노동부 보건직,,,7급
2967,일학습병행자격,L4,열처리,,,L4
2968,일학습병행자격,L2,도금,,,L2
2969,일학습병행자격,L3,선박도장,,,L3
2970,일학습병행자격,L3,전기기기제작,,,L3
2971,일학습병행자격,L5,전기철도시공,,,L5
2972,일학습병행자격,L3,전기철도신호시공,,,L3
2973,일학습병행자격,L4,전자기기소프트웨어개발,,,L4
2974,일학습병행자격,L3,반도체설계,,,L3
2975,일학습병행자격,L5,신용분석,,,L5
2976,일학습병행자격,L3,신용카드운영,,,L3
2977,일학습병행자격,L5,신체손해사정,,,L5
2978,일학습병행자격,L3,실내공기질관리,,,L3
2979,일학습병행자격,L4,실용음악보컬디렉팅,,,L4
2980,일학습병행자격,L4,실용음악크리에이팅,,,L4
2981,일학습병행자격,L3,씨앗생산,,,L3
2982,일학습병행자격,L5,씨앗생산,,,L5
2983,일학습병행자격,L3,애니메이션제작,,,L3
2984,일학습병행자격,L2,양식조리,,,L2
2985,일학습병행자격,L4,양식조리,,,L4
2986,일학습병행자격,L3,어장환경정화관리,,,L3
2987,일학습병행자격,L2,어촌체험관리,,,L2
2988,일학습병행자격,L4,어촌체험관리,,,L4
