고유 번호,자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
32,S,국가전문자격,물류관리사,물류관리사,,,,,
33,S,국가전문자격,농산물품질관리사,농산물품질관리사,,,,,
34,S,국가전문자격,주택관리사보,주택관리사보,,,,,
35,S,국가전문자격,소방시설관리사,소방시설관리사,,,,,
36,S,국가전문자격,소방안전교육사,소방안전교육사,,,,,
37,S,국가전문자격,공인중개사,공인중개사,,,,,
38,S,국가전문자격,경영지도사,경영지도사,,,,,1차공통
39,S,국가전문자격,기술지도사,기술지도사,,,,,1차공통
40,S,국가전문자격,검수사,검수사,,,,,
41,S,국가전문자격,관광통역안내사,관광통역안내사,,중국어,,,
42,S,국가전문자격,호텔서비스사,호텔서비스사,,,,,
43,S,국가전문자격,방사성동위원소취급자특수면허,방사성동위원소취급자특수면허,,,,,
44,S,국가전문자격,방사선취급감독자면허,방사선취급감독자면허,,,,,
45,S,국가전문자격,경영지도사,경영지도사,인적자원관리,,,,
46,S,국가전문자격,경영지도사,경영지도사,재무관리,,,,
47,S,국가전문자격,경영지도사,경영지도사,생산관리,,,,
48,S,국가전문자격,경영지도사,경영지도사,마케팅,,,,
49,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,대목수,,,,
50,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,소목수,,,,
51,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,가공석공,,,,
52,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,쌓기석공,,,,
53,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,화공,,,,
54,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,드잡이공,,,,
55,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,번와와공,,,,
56,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,제작와공,,,,
57,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,한식미장공,,,,
58,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,철물공,,,,
59,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,목조각공,,,,
60,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,석조각공,,,,
61,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,칠공,,,,
62,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,도금공,,,,
63,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,표구공,,,,
64,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,조경공,,,,
65,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,세척공,,,,
